Urun_Adi,Birim_Maliyet,Mevcut_Stok,Min_Stok,Kategori
Serum 500 ml (SF),45.00,15,5,Serum & Sıvılar
Serum 500 ml (Dekstroz %5),55.00,12,4,Serum & Sıvılar
Vitamin A-D3-E (100 ml),120.00,2,3,Vitamin & Mineral
Enjektör 10cc (Adet),2.50,50,20,Sarf Malzeme
Enjektör 20cc (Adet),3.50,40,15,Sarf Malzeme
Kelebek Set 21G,4.00,30,10,Sarf Malzeme
Antibiyotik Enjeksiyon (100 ml),250.00,6,2,Antibiyotikler
Ağrı Kesici & Antienflamatuar (50 ml),180.00,8,3,Antienflamatuar
Doğum Takviye Jeli (Tüp),90.00,1,2,Doğum & Jinekoloji
Antiparaziter Aşı (Doz),75.00,25,10,Aşı & Parazit
Kuduz Aşısı (Doz),110.00,18,5,Aşı & Parazit
Yara Bakım Spreyi (200 ml),135.00,4,2,Dermatoloji & Bakım
Suni Tohumlama Kateteri,15.00,35,10,Sarf Malzeme
Meme İçi Tüp (Antibakteriyel),65.00,3,4,Meme Sağlığı
Oral Rehidratasyon Tozu,30.00,20,8,Sindirim Sistemi
